Job_Title,Department,Employer,city,Date_Placed,Closing_Date,Job_Url
Post Doctoral Research Associate,Musculoskeletal & Ageing Science,University of Liverpool,Liverpool,20-Jun,11-Jul,https://www.jobs.ac.uk/job/DAS476/post-doctoral-research-associate
Research Assistant,School of Cancer Sciences,University of Glasgow,Glasgow,20-Jun,18-Jul,https://www.jobs.ac.uk/job/DAS432/research-assistant
Histology Technician - Grade 5,"Technology, Infrastructure and Environment Directorate - Liverpool Shared Research Facilities",University of Liverpool,Liverpool,20-Jun,04-Jul,https://www.jobs.ac.uk/job/DAS411/histology-technician-grade-5
"Research Assistant (Part Time, Fixed Term)",Leverhulme Centre for the Future of Intelligence,University of Cambridge,Cambridge,20-Jun,09-Jul,https://www.jobs.ac.uk/job/DAS359/research-assistant-part-time-fixed-term
Postdoctoral Research Associate (Fixed Term),Leverhulme Centre for the Future of Intelligence,University of Cambridge,Cambridge,20-Jun,09-Jul,https://www.jobs.ac.uk/job/DAS349/postdoctoral-research-associate-fixed-term
Research Associate: Genomic Technologies,Yusuf Hamied Department of Chemistry,University of Cambridge,Cambridge,20-Jun,15-Aug,https://www.jobs.ac.uk/job/DAS345/research-associate-genomic-technologies
Research Assistant,Psychology - School of Social Sciences,Nottingham Trent University,Nottingham,20-Jun,26-Jul,https://www.jobs.ac.uk/job/DAS320/research-assistant
PhD Studentship: Lysine Metabolism as Therapeutic Target for Epilepsy in Tuberous Sclerosis Complex (TSC),College of Health and Life Sciences,Aston University,Birmingham,20-Jun,24-Jul,https://www.jobs.ac.uk/job/DAS287/phd-studentship-lysine-metabolism-as-therapeutic-target-for-epilepsy-in-tuberous-sclerosis-complex-tsc
PhD Studentship: How phytoplankton viruses alter nutrient uptake and ocean biogeochemistry,Living Systems Institute,University of Exeter,Exeter,20-Jun,07-Aug,https://www.jobs.ac.uk/job/DAS280/phd-studentship-how-phytoplankton-viruses-alter-nutrient-uptake-and-ocean-biogeochemistry
Postdoctoral Researcher,,University of Dundee,Dundee,20-Jun,18-Jul,https://www.jobs.ac.uk/job/DAS261/postdoctoral-researcher
Teaching Fellow Clinical Microbiology and Infectious Diseases,CMVM/Edinburgh Medical School/Deanery of Biomedical Sciences/Biomedical Sciences Teaching Organisation,The University of Edinburgh,Edinburgh,20-Jun,18-Jul,https://www.jobs.ac.uk/job/DAS248/teaching-fellow-clinical-microbiology-and-infectious-diseases
Health Data Scientist,"Big Data Institute, Li Ka Shing Centre for Health Information and Discovery,",University of Oxford,Oxford,20-Jun,17-Jul,https://www.jobs.ac.uk/job/DAS202/health-data-scientist
MRC Postdoctoral Research Scientist,Computational Regulatory Genomics Group,MRC London Institute of Medical Sciences,London,20-Jun,06-Jul,https://www.jobs.ac.uk/job/DAS197/mrc-postdoctoral-research-scientist
Biomedical Technician (Fixed Term),Department of Clinical Biochemistry,University of Cambridge,Cambridge,20-Jun,16-Jul,https://www.jobs.ac.uk/job/DAS193/biomedical-technician-fixed-term
"Laboratory Manager, Centre for Trophoblast Research (Fixed Term)","Department of Physiology, Development and Neuroscience",University of Cambridge,Cambridge,20-Jun,17-Jul,https://www.jobs.ac.uk/job/DAS161/laboratory-manager-centre-for-trophoblast-research-fixed-term
Science Technician,,King's College School,London,20-Jun,27-Jun,https://www.jobs.ac.uk/job/DAS156/science-technician
Assistant Lecturer - Part Time,School of Science,Atlantic Technological University,Galway,20-Jun,30-Jun,https://www.jobs.ac.uk/job/DAS121/assistant-lecturer-part-time
Life Sciences Tutor,Cardiff University International Study Centre,Study Group,Cardiff,20-Jun,20-Jul,https://www.jobs.ac.uk/job/DAS117/life-sciences-tutor
IRF Imaging Manager,Research Operations,"St George's, University of London",London,20-Jun,03-Jul,https://www.jobs.ac.uk/job/DAS096/irf-imaging-manager
Research Associate OR Research Fellow,Department of Medical and Molecular Genetics,King's College London,London,20-Jun,09-Jul,https://www.jobs.ac.uk/job/DAS049/research-associate-or-research-fellow
Research Associate (Fixed Term),"Department of Physiology, Development and Neuroscience",University of Cambridge,Cambridge,20-Jun,06-Jul,https://www.jobs.ac.uk/job/DAS036/research-associate-fixed-term
Trustee,,The Dunhill Medical Trust,London,20-Jun,27-Jul,https://www.jobs.ac.uk/job/DAS033/trustee
Tissue Curator,Biological Sciences,UCL,London,20-Jun,16-Jul,https://www.jobs.ac.uk/job/DAR996/tissue-curator
Postdoctoral Scientist,Science,The Pirbright Institute,Pirbright,20-Jun,18-Jul,https://www.jobs.ac.uk/job/DAR989/postdoctoral-scientist
Research Associate or Senior Research Associate,Faculty of Science & Health - School of Biological Sciences,University of Portsmouth,Portsmouth,20-Jun,02-Jul,https://www.jobs.ac.uk/job/DAR988/research-associate-or-senior-research-associate
Postdoctoral Scientist,Translational Gastroenterology Unit (TGU),University of Oxford,Oxford,20-Jun,26-Jun,https://www.jobs.ac.uk/job/DAR984/postdoctoral-scientist
Strategic Senior Research Fellow / Strategic Research Fellow,"Institute of Biological, Environmental and Rural Sciences",Aberystwyth University,Aberystwyth,20-Jun,27-Jun,https://www.jobs.ac.uk/job/DAR942/strategic-senior-research-fellow-strategic-research-fellow
Fully Funded Swansea University PhD Scholarship: Genomics for Precision Medicine Based Approaches to Intestinal Cancer Therapy,Medical and Health Care Studies,Swansea University,Swansea,20-Jun,05-Jul,https://www.jobs.ac.uk/job/DAR945/fully-funded-swansea-university-phd-scholarship-genomics-for-precision-medicine-based-approaches-to-intestinal-cancer-therapy
Project: Centre for Biosciences Masters by Research,,Manchester Metropolitan University,Manchester,20-Jun,11-Jul,https://www.jobs.ac.uk/job/DAR901/project-centre-for-biosciences-masters-by-research
PhD Studentship: Novel Affordable Light-weight Underactuated Biomimetic Multi-DOF Prosthetic Hands,School of Health and Society,University of Salford,Salford,20-Jun,28-Jul,https://www.jobs.ac.uk/job/DAR897/phd-studentship-novel-affordable-light-weight-underactuated-biomimetic-multi-dof-prosthetic-hands
Research Fellow in Molecular Biology/Pathology,School of Pharmacy,Queen's University Belfast,Belfast,20-Jun,03-Jul,https://www.jobs.ac.uk/job/DAP360/research-fellow-in-molecular-biology-pathology
Lecturer in Applied/Forensic Science,,Oaklands College,Welwyn Garden City,19-Jun,30-Jun,https://www.jobs.ac.uk/job/DAR522/lecturer-in-applied-forensic-science
Postdoctoral Research Fellow,"College of Medicine and Veterinary Medicine, Clinical Sciences - Institute for Regeneration and Repair - Centre for Inflammation Research",The University of Edinburgh,Edinburgh,19-Jun,10-Jul,https://www.jobs.ac.uk/job/DAR502/postdoctoral-research-fellow
Postdoctoral Research Assistant,,University of Dundee,Dundee,19-Jun,19-Jul,https://www.jobs.ac.uk/job/DAR477/postdoctoral-research-assistant
